Geo_FIPS,total_pop,pop_under18_per,pop_over65_per,pop_65_alone_per,pop_male_per,chd_dec,diabetes_dec,phlth_dec,popdens,housing_dens,canopy_per,veg_per,imperv_per,mtemp_16_20,pop_edu_per,pop_renter_per,cogdif_per,pop_foreignb_per,lep_per,pop_bipoc_per,sensitivity,exposure,adaptcap,hvi,sens_pct,exp_pct,adcap_pct,hvi_pct
41051010303,5652,0.2740622788,0.08846426044,0.292,0.5086694975,0.043,0.069,0.119,3257.90342,1083.085726,0.1550286465,0.2519724694,0.4712842035,85,0.7524193548,0.3823425336,0.06452249408,0.1627742392,0.08454867954,0.3397027601,0.5575230226,-0.1212798049,0.915970488,1.352213706,59.89847716,39.08629442,77.15736041,66.49746193
41051010304,4534,0.3297309219,0.08094397883,0.1335149864,0.4419938244,0.05,0.083,0.147,5637.776429,1796.777005,0.2032491579,0.08657465496,0.5884274362,85,0.8700284091,0.5185266873,0.08287705326,0.2692986326,0.06438085841,0.6186590207,2.120066013,0.008129664464,1.286125122,3.4143208,79.18781726,45.17766497,86.29441624,84.26395939
41051010305,3589,0.2574533296,0.1103371413,0.09595959596,0.5528002229,0.046,0.072,0.12,4005.447489,1483.209728,0.3353273702,0.354488279,0.3505574614,81,0.728606357,0.2630259125,0.03856422427,0.06770688214,0.01305250667,0.175257732,0.07690253148,-1.950097892,0.08137851814,-1.791816842,52.28426396,10.15228426,56.34517766,33.50253807
41051010306,5375,0.3445581395,0.06102325581,0.2408536585,0.480372093,0.043,0.071,0.129,9404.981784,2855.614934,0.1901937588,0.1064060803,0.5196905537,84,0.7374319565,0.2135813953,0.03019349351,0.1224186047,0.03678503083,0.240372093,1.277504251,0.1183115301,0.3808989964,1.776714778,71.57360406,52.28426396,64.46700508,73.0964467
41051010402,6709,0.2542852884,0.145774333,0.1421267894,0.5209420182,0.05,0.075,0.122,609.271195,181.9912766,0.3394402826,0.8154385965,0.07797318296,82,0.7441397612,0.2429572216,0.03209405783,0.07348338053,0.002220459952,0.1781189447,1.12525129,-1.491560187,0.09340441532,-0.2729044816,69.03553299,14.21319797,56.85279188,52.79187817
41051010405,6097,0.2023946203,0.1438412334,0.409350057,0.4894210267,0.059,0.089,0.15,7746.419249,3138.208224,0.1931857696,0.03803888419,0.584454776,85,0.75,0.4725274725,0.03443429375,0.1886173528,0.04580554581,0.3518123667,2.694612811,0.3094961046,1.597515484,4.6016244,87.30964467,60.40609137,91.37055838,90.35532995
41051010407,5389,0.2046761922,0.1846353683,0.2050251256,0.5227314901,0.053,0.077,0.126,4785.315164,1625.888303,0.3544080702,0.3780978606,0.3383266257,83,0.805749597,0.3900538133,0.09760916815,0.08313230655,0.01432938479,0.2865095565,1.465614004,-0.9656971191,-0.2710837458,0.2288331391,74.11167513,21.31979695,44.16243655,58.88324873
41051010408,6794,0.3167500736,0.08168972623,0.3081081081,0.4718869591,0.051,0.078,0.147,6886.792897,2256.402854,0.1894511707,0.1941871607,0.5134813159,85,0.8316326531,0.451574919,0.1027250206,0.2119517221,0.0455821635,0.3675301737,2.359558749,0.3603776044,0.8802038877,3.600140241,84.26395939,62.94416244,76.14213198,86.29441624
41051010410,4567,0.2395445588,0.1051018174,0.3645833333,0.4525947011,0.058,0.085,0.155,9338.768668,3795.216696,0.1770863187,0.2875318066,0.4542239186,82,0.7968804159,0.7076855704,0.1508909975,0.0906503175,0.03184860374,0.3781475805,2.615867447,-0.3210291031,0.1197455277,2.414583872,86.29441624,34.01015228,58.37563452,78.17258883
41051010411,3447,0.2384682332,0.213519002,0.2690217391,0.4540179867,0.08,0.108,0.172,8273.60833,3144.307198,0.1676741996,0.02936630603,0.6488794436,84,0.8795342588,0.5442413693,0.1095146871,0.1169132579,0.01947637292,0.350159559,5.838610626,0.08537814918,0.4501639559,6.374152731,99.49238579,48.73096447,66.49746193,96.95431472
41051010412,3122,0.2463164638,0.131966688,0.2597087379,0.531710442,0.039,0.062,0.106,1971.355369,630.8084605,0.2505577918,0.4393654769,0.2592277186,83,0.7011754069,0.1790518898,0.02042253521,0.03203074952,0.01021126761,0.09385009609,-0.03689289371,-1.279262493,-0.09925555469,-1.415410942,51.26903553,16.75126904,49.74619289,36.54822335
41051010413,5030,0.2572564612,0.1190854871,0.1185308848,0.4638170974,0.039,0.062,0.106,8944.38207,3241.671673,0.2554151397,0.129281768,0.503441989,84,0.6994439567,0.3640159046,0.0825096691,0.06739562624,0.005156854319,0.2047713718,-0.2389662472,0.02459662124,-0.3471732071,-0.561542833,45.68527919,47.20812183,41.11675127,49.23857868
41051010500,4171,0.2215296092,0.1733397267,0.1313969571,0.4893310957,0.058,0.083,0.128,101.0431173,34.78732112,0.6292184195,0.938176265,0.005414498397,78,0.5660770031,0.1416926397,0.05220987335,0.06089666747,0.001804123711,0.2109805802,1.911817483,-3.564530978,-1.234764521,-2.887478017,78.17258883,2.538071066,13.70558376,16.24365482
41051010601,1514,0,0.3328929987,0.6448412698,0.3692206077,0.082,0.122,0.176,19501.85297,14787.40239,0.1067890503,0,0.9289237668,83,0.599537037,0.7093791281,0.2100396301,0.09577278732,0.01254953765,0.2232496697,6.282277819,2.83572298,-0.7916404858,8.326360313,100,94.41624365,28.42639594,99.49238579
41051010602,1885,0.007427055703,0.1320954907,0.7991967871,0.575596817,0.082,0.122,0.176,6910.929003,4227.215459,0.1277947967,0.007060900265,0.6942541924,84,0.8055248619,0.6328912467,0.3001364256,0.1596816976,0,0.3623342175,3.404373846,0.1041736905,-1.895344527,1.613203009,92.89340102,50.25380711,2.538071066,71.57360406
41051980000,0,0,0,0,0,NA,NA,NA,0,0,0.06325095253,0.01291948952,0.6450527808,84,0,0,0,0,0,0,-9.071720835,-1.208601479,-2.27331385,-12.55363616,0.5076142132,18.27411168,1.52284264,0.5076142132
